,제목,출판사,교육과정,Lesson,Title,Structure
0,영어,능률(김),2015,1,The Part You Play,"• 전치사의 목적어로서의 동명사
Instead of running straight ahead, the player kindly passed the ball to Ethan so that he could score a touchdown."
1,영어,능률(김),2015,2,The Power of Creativity,"• 명사를 수식하는 과거분사(구)
The giant pictures made from trash by environmental artist Tom Deininger are one of a kind."
2,영어,능률(김),2015,3,Sound Life,"• 사역동사+목적어+동사원형
Has a painting, a movie, or a novel ever made you feel better?"
3,영어,능률(김),2015,4,Toward a Better World,"• 관계부사
I am so glad that this family now has a safe place where they can lay their heads."
4,영어,능률(김),2015,5,What Matters Most,"• 분사구문
Reaching the hermit’s hut, the king found the old man digging in his garden."
5,영어,능률(김),2015,6,Beyond the Limits,"• so+형용사/부사+that+주어+동사
With his assistance, she also studied higher mathematics and engineering so hard that she became an expert in them without ever going to college."
6,영어,능률(김),2015,7,Finding Out the Wonders,"• One of the+최상급+복수명사
One of hanji’s newest uses is a treat for the ears."
7,영어,능률(김),2015,8,It’s Up to You!,"• the+비교급 ..., the+비교급 ~
The harder teens work at building good habits, the stronger those connections in their brains will be."
8,영어,능률(양),2015,1,Where Should I Begin?,"• in case
I keep my paint brush in case I need it."
9,영어,능률(양),2015,2,"Be Smart, Be Healthy","• the same ... as
Now I want you to experience the same benefits as I did."
10,영어,능률(양),2015,3,"Take Action, Make a Difference","• to one's+감정 명사
To my surprise, teachers agreed to make it official."
11,영어,능률(양),2015,4,"Some Like It Cold, Some Like It Hot","• with+명사+분사
With the summer progressing, the weather kept getting hotter."
12,영어,능률(양),2015,5,We Are What We Do,"• one of+최상급+복수명사
Browsing in a mall is one of the most popular pastimes."
13,영어,능률(양),2015,6,When Myths Meet Science,"• 의문사 없는 의문문의 간접화법
The baobab asked the gods if it could have sweet fruit as well."
14,영어,능률(양),2015,7,Venice Diary,"• 부정 조건의 접속사 unless
You can’t say you have been to Venice unless you have ridden a gondola."
15,영어,능률(양),2015,8,The Solution Is in Nature,"• 현재완료 수동형
The novels of Kafka have been read for decades."
16,영어1,능률(김),2015,1,A Spark in You,"• 과거완료 had v-ed
Diego’s early education had not prepared him well for life at his new school"
17,영어1,능률(김),2015,2,Embracing Our Differences,"• 동사＋목적어＋목적격 보어(to부정사)
Then the driver ordered her to give her seat to a white passenger."
18,영어1,능률(김),2015,3,We Are All Connected,"• 시간의 접속사＋v-ing
Imagine how ancient people must have felt when encountering tigers in the wild!"
19,영어1,능률(김),2015,4,Build a Better World,"• 명사 뒤에서 수식하는 과거분사구
Last week, I visited an exhibition of artwork and ancient items selected from the Kansong Art Museum’s collection."
20,영어1,능률(김),2015,5,"Look, Think, and Create!","• 과거분사로 시작하는 수동형 분사구문
Inspired by trees, Gaudi gave the columns a single base that splits off into branches near the top."
21,영어 2,능률(김),2015,1,Treasure in My Life,"• 복합관계대명사
In fact, the word souvenir means “memory” in French, so whatever brings back memories could be called a “souvenir.”"
22,영어 2,능률(김),2015,2,In Someone Else’s Shoes,"• 동명사의 의미상 주어
She has a strong fear of her youth disappearing and feels uncomfortable around old people."
23,영어 2,능률(김),2015,3,Be a Critical Thinker,"• 재귀대명사의 강조용법
Similarly, ..., they may choose to wear one themselves."
24,영어 2,능률(김),2015,4,Find and Do What You Love,"• must have p.p
She must have been unaware of how expensive they were at the time."
25,영어 2,능률(김),2015,5,Technology: An Engine for Change,"• 미래진행형 will be v-ing
With the IoT, however, things connected to the Internet will be communicating with one another without human intervention."
26,공통영어 1,YBM(김),2022,1,Believe That You Can Do Better,"• 전치사 + -ing
The boy does not feel like taking up the challenge."
