,example_english,example_korean
0,My friend speaks English with a clear accent.,내 친구는 영어를 명확한 강세로 말해요.
1,She speaks fluent English with a clear accent.,그녀는 뚜렷한 억양으로 영어를 말해요.
2,The big store advertises new toys on TV.,큰 가게가 새로운 장난감을 TV에서 광고해요.
3,They carefully advertize the new product on TV.,그들은 새 제품을 TV에서 광고해요.
4,The reliable airline offers many safe easy flights.,믿을 수 있는 항공사는 많은 안전한 쉬운 비행을 제공해요.
5,My alarm rings loudly to wake me up.,내 알람이 크게 울려서 나를 깨워요.
6,My alarm rings loudly every morning on weekdays.,내 자명종은 매일 아침 평일에 크게 울려요.
7,Alcohol can sometimes be found in some medicines.,알코올은 때때로 약에 들어 있어요.
8,My friend always speaks aloud in our class.,내 친구는 항상 우리 반에서 소리 내어 말해요.
9,The magic trick can truly amaze all children.,그 마술은 모든 아이들을 놀라게 해요.
10,The funny clown amuses the happy children daily.,재미있는 광대가 행복한 아이들을 즐겁게 해요.
11,The teacher did a careful analysis of text.,우리 선생님은 글의 분석을 했어요.
12,Loud noises can really annoy my little sister.,시끄러운 소리가 정말 내 여동생을 화나게 해요.
13,A very tiny ant carries a heavy crumb.,아주 작은 개미가 무거운 부스러기를 옮겨요.
14,The smart applicant submitted his application form today.,영리한 신청자가 오늘 신청서를 제출했어요.
15,I enjoy crispy bacon with eggs every morning.,나는 매일 아침 바삭한 베이컨을 즐겨요.
16,The small boat sails near the peaceful bay.,작은 배가 평화로운 만 근처로 항해해요.
17,The bay is a calm and quiet area.,만은 차분하고 조용한 구역이에요.
18,We happily drank a cold beer at dinner.,우리 즐겁게 저녁에 차가운 맥주를 마셨어요.
19,Her strong belief makes life full of hope.,그녀의 강한 믿음이 삶에 희망을 줘요.
20,Her firm belief always helps her stay strong.,그녀의 확고한 신념은 항상 그녀에게 힘을 줘요.
21,The small bench sits under the tall tree.,작은 벤치가 큰 나무 아래에 있어요.
22,His skill is really beyond our normal level.,그의 실력은 우리 평범한 수준을 능가해요.
23,The small dog runs beyond the long fence.,작은 개가 긴 울타리 저편에 달려가요.
24,Please bind the rope tightly around the box.,박스를 단단히 묶어 주세요요.
25,I always bless my friends with kind words.,저는 친구들에게 친절한 말로 축복해요.
26,The small bakery will boom in our town.,우리 동네의 작은 빵집이 번창해요.
27,The loud airplane engine will boom during takeoff.,비행기 엔진이 이륙할 때 윙윙 울려요.
28,The drill bore a hole in the wood.,드릴이 나무에 구멍을 뚫었어요.
29,A boring movie always bore all my friends.,지루한 영화는 항상 내 친구들을 지루하게 했어요.
30,The old book did bore my best friend.,오래된 책이 내 가장 친한 친구를 지루하게 했어요.
31,Good leaders boss their teams with kind fairness.,좋은 리더들은 팀을 친절하게 지배해요.
32,My boss always helps me finish each task.,나의 상사는 항상 나에게 각 과제를 끝내도록 도와줘요.
33,He quickly pressed the brake before the turn.,그는 회전하기 전에 브레이크를 빠르게 눌렀어요.
34,I see many big bubbles at the park.,나는 공원에서 많은 큰 거품을 보아요.
35,My little brother always bugs me during homework.,내 동생은 숙제할 때 항상 저를 괴롭혀요.
36,I saw a tiny bug on green leaf.,나는 초록 잎 위에 작은 벌레를 봤어요.
37,My computer encountered a tiny bug this morning.,내 컴퓨터가 오늘 아침 작은 컴퓨터상의 오류를 만났어요.
38,My small bush grows next to our house.,내 작은 수풀은 우리 집 옆에서 자라요.
39,I need a strong cable for my TV.,저는 TV에 강한 케이블이 필요해요.
40,I always use my calculator in math class.,나는 항상 수학 수업에서 계산기를 사용해요.
