구분,voca NO,grade ID,grade NO,WordText,WordMeaning,PoS,품사,image ID,WordID(SoundID),WordSymbol,result_json,example_english,example_korean,단어 여부 검수,초등800 포함여부
초등800,10000,초3,1,a,하나의,10,관사,10743,6216,[ə],"{'example_sentence_eng': 'He has a car.', 'example_sentence_kor': '그는 차가 있어요.'}",He has a car.,그는 차가 있어요.,TRUE,TRUE
초등800,10001,초3,1,about,~에 대하여,6,전치사,9612,3825,[əbáut],"{'example_sentence_eng': 'We talk about the game.', 'example_sentence_kor': '우리는 게임에 대하여 이야기해요.'}",We talk about the game.,우리는 게임에 대하여 이야기해요.,TRUE,TRUE
초등800,10002,초3,1,about,대략,2,명사,884,16729,[əbáut],"{'example_sentence_eng': 'I have about ten friends.', 'example_sentence_kor': '나는 대략 열 명의 친구가 있어요.'}",I have about ten friends.,나는 대략 열 명의 친구가 있어요.,TRUE,TRUE
초등800,10003,초등,5,above,위에,6,전치사,2574,4278,[əbʌ́v],"{'example_sentence_eng': 'The bird is above the tree.', 'example_sentence_kor': '새가 나무 위에 있어요.'}",The bird is above the tree.,새가 나무 위에 있어요.,TRUE,TRUE
초등800,10004,초6,4,across,맞은편에,6,전치사,5589,16730,[əkrɔ́:s; əkrás],"{'example_sentence_eng': 'The ball goes across street.', 'example_sentence_kor': '공이 길 맞은편에 가요.'}",The ball goes across street.,공이 길 맞은편에 가요.,TRUE,TRUE
초등800,10005,초등,5,act,연기하다,1,동사,4586,16731,[ǽkt],"{'example_sentence_eng': 'Kids act on stage.', 'example_sentence_kor': '아이들이 무대에서 연기해요.'}",Kids act on stage.,아이들이 무대에서 연기해요.,TRUE,TRUE
초등800,10006,초등,5,act,~인 체하다,1,동사,8340,17023,[ǽkt],"{'example_sentence_eng': 'I act like a hero.', 'example_sentence_kor': '나는 영웅인 체해요.'}",I act like a hero.,나는 영웅인 체해요.,TRUE,TRUE
초등800,10007,초등,5,act,"법령,조례",2,명사,1442,19104,[ǽkt],"{'example_sentence_eng': 'The act gives us rules.', 'example_sentence_kor': '법령이 우리에게 규칙을 줘요.'}",The act gives us rules.,법령이 우리에게 규칙을 줘요.,TRUE,TRUE
초등800,10008,초등,5,act,(연극 등의) 막,2,명사,13286,20267,[ǽkt],"{'example_sentence_eng': 'The act is fun.', 'example_sentence_kor': '막이 재미있어요.'}",The act is fun.,막이 재미있어요.,TRUE,TRUE
초등800,10009,초등,5,act,"결정하다,판결을 내리다",1,동사,11051,21735,[ǽkt],"{'example_sentence_eng': 'I act and decide now.', 'example_sentence_kor': '나는 지금 결정해요.'}",I act and decide now.,나는 지금 결정해요.,TRUE,TRUE
초등800,10010,초등,5,actual,실제의,3,형용사,9533,3469,[ǽkʧuəl],"{'example_sentence_eng': 'This is actual toy.', 'example_sentence_kor': '이것은 실제 장난감이에요.'}",This is actual toy.,이것은 실제 장난감이에요.,TRUE,TRUE
초등800,10011,초등,5,add,"추가하다,더하다",1,동사,926,1471,[ǽd],"{'example_sentence_eng': 'Add one toy please.', 'example_sentence_kor': '장난감을 하나 더 추가해요.'}",Add one toy please.,장난감을 하나 더 추가해요.,TRUE,TRUE
초등800,10012,초등,5,address,주소,2,명사,10727,5292,[ǽdres],"{'example_sentence_eng': 'This is my address.', 'example_sentence_kor': '이것은 내 주소예요.'}",This is my address.,이것은 내 주소예요.,TRUE,TRUE
초등800,10013,초등,5,address,연설,2,명사,10977,18137,[ǽdres],"{'example_sentence_eng': 'The address makes us happy.', 'example_sentence_kor': '연설이 우리를 행복하게 해요.'}",The address makes us happy.,연설이 우리를 행복하게 해요.,TRUE,TRUE
초등800,10014,초등,5,address,다루다,1,동사,2710,18138,[ədrés],"{'example_sentence_eng': 'He addresses the topic.', 'example_sentence_kor': '그가 주제를 다루어요.'}",He addresses the topic.,그가 주제를 다루어요.,TRUE,TRUE
초등800,10015,초등,5,address,검토하다,1,동사,3140,20702,[ədrés],"{'example_sentence_eng': 'I address my homework.', 'example_sentence_kor': '나는 숙제를 검토해요.'}",I address my homework.,나는 숙제를 검토해요.,TRUE,TRUE
