,textbook ID,학년,출판사,교육과정,Lesson,Title,Structures
0,701,중1,능률(김),2015,1,Welcome to My World,be동사의 긍정문과 부정문 He is from France. She is not good at Korean.
1,701,중1,능률(김),2015,2,Discover Your Culture,현재진행형 I'm enjoying my trip to Korea.
2,701,중1,능률(김),2015,3,"Spend Smart, Save Smart",동사의 과거형  We sold many things at the flea market.
3,701,중1,능률(김),2015,4,The Power of Ideas,목적어를 두 개 갖는 동사 This story teaches us an important lesson.
4,701,중1,능률(김),2015,5,Follow Your Dreams,"비교급, 최상급  The other team's players ran faster than us."
5,701,중1,능률(김),2015,6,The Joy of Art,목적을 나타내는 to부정사 He went to college to study law.
6,701,중1,능률(김),2015,7,Time for Stories,감탄문 How kind these children are!
7,801,중2,능률(김),2015,1,Express Yourself,주어 역할을 하는 동명사 Taking selfies is part of daily life for many teens.
8,801,중2,능률(김),2015,2,"Eat Right, Be Happy",주격 관계대명사 What do students who live in other countries eat for lunch?
9,801,중2,능률(김),2015,3,Understand the World,"현재완료 For a long time, Koreans have thought that fish are good guards."
10,801,중2,능률(김),2015,4,Go Green Together,수동태 The waste is turned into food for the plants by bacteria.
11,801,중2,능률(김),2015,5,Give a Helping Hand,목적격 관계대명사 The little black dress which she wore in a movie is famous even today.
12,801,중2,능률(김),2015,6,The Best Trip of Your Life,가주어 it It was nice to relax in a café and read them.
13,801,중2,능률(김),2015,7,On My Way to the Future,to부정사를 목적격 보어로 가지는 동사 Taeho wants more people to use 3D printed products in the future.
14,901,중3,능률(김),2015,1,A Life Full of Experiences,현재완료진행형 I have been writing my shopping lists in Spanish!
15,901,중3,능률(김),2015,2,Take Care of Yourself,"선행사를 부연 설명하는 계속적 용법의 관계사 Walnuts also have wrinkles, which the brain has too."
16,901,중3,능률(김),2015,3,"Always Aware, Always Prepared","과거완료 One night in February, after I had gone to bed, an earthquake hit."
17,901,중3,능률(김),2015,4,My Roles in Society,‘~인지 아닌지’를 의미하는 if/whether I suddenly started to wonder if these are the only qualities that make a good leader.
18,901,중3,능률(김),2015,5,Environmental Innovations,to부정사가 나타내는 행위의 주체인 의미상 주어 It is important for us to find ways to protect the environment.
19,901,중3,능률(김),2015,6,Take Part in the Economy,"the+비교급, the+비교급 The fewer products we buy, the more resources we save."
20,901,중3,능률(김),2015,7,Future Changes through Technology,가정법 과거 Cooking and cleaning would be easier if you had one.
