학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2
"자기소개와 출신지에 대해 말할 수 있어요.
자기소개에 반응할 수 있어요.",A: My name is ___. I’m from Australia. B: Glad to meet you.,내 이름은 Felix이야. 나는 호주에서 왔어. 만나서 반가워.,Max,Felix,Leo,Felix,2,I come from ___.,나는 호주에서 왔어.,England,Australia,New Zealand,Australia,2
"be going to 를 활용하여 계획이나 예정된 일에 대해 묻고 답할 수 있어요.
You can ask and answer questions about your plans using 'be going to'.",A: What are you going to do on your holiday? B: I'm going to ______.,A: 방학에 뭐 할 거야? B: 난 여행 갈 거야.,relax,travel,study,travel,2,B: I'm planning to ______.,B: 난 여행 갈 계획이야.,exercise,shop,travel,travel,3
"조언할 때 'You should ~' 구문을 사용할 수 있어요.
다양한 조언 표현(예: It's a good idea to ~, How about ~?)을 익혀요.",You should ____.,너는 더 열심히 공부해야 해.,study hardly,study harder,work smarter,study harder,2,It's a good idea to ____.,더 열심히 공부하는 것이 좋은 생각이야.,sleep more,study harder,read books,study harder,2
"의견에 동의하는 표현을 사용할 수 있어요.
의견에 반대하는 표현을 사용할 수 있어요.","A: ___ idea is great. B: I think so, too. / I don’t think so.",이 아이디어는 훌륭해.,That,This,These,This,2,B: I ___.,나도 동의해.,disagree,agree,think,agree,2
"미래에 대한 소망을 표현할 수 있어요.
want to ()를 활용하여 미래의 소망을 표현할 수 있어요.",I want to be a ____.,나는 의사가 되고 싶어.,teacher,doctor,pilot,doctor,2,My dream is to become a ___. I hope to be a doctor.,내 꿈은 의사가 되는 거야. 나는 의사가 되고 싶어.,nurse,lawyer,doctor,doctor,3
"의견을 묻고 답하는 표현을 배워요.
What do you think of ()?와 같은 표현을 사용해 의견을 묻고 답할 수 있어요.",B: I think it’s ___.,내 생각에 이 영화는 굉장해.,boring,amazing,ordinary,amazing,2,A: How do you ___ about this movie?,이 영화에 대해 어떻게 느끼세요?,think,feel,react,feel,2
"권유 표현을 사용할 수 있어요.
'Why don’t you try this restaurant?'와 같은 표현으로 권유할 수 있어요.",Why don’t you ____ this restaurant?,이 식당을 한 번 시도해 보는 건 어때요?,visit,try,ignore,try,2,How about the new menu? You should ____.,새 메뉴 어때? 꼭 한 번 먹어봐.,check,try,skip,try,2
"be interested in을 사용하여 관심사에 대해 질문할 수 있어요.
사진 촬영과 같은 취미와 관심사를 표현할 수 있어요.",What are you _______ in?,무엇에 관심이 있어?,excited,interested,involved,interested,2,I like ______.,나는 사진 촬영을 좋아해.,dancing,photography,cooking,photography,2
"충고를 할 때 'd better' 표현을 사용할 수 있어요.
Be able to use the 'd better' expression to give advice.",___ take an umbrella.,우산을 가져가는 게 좋겠어요.,You must,You should,You'd better,You'd better,3,You ___ take an umbrella. It’s a good idea to take one.,우산을 가져가는 것이 좋을 거예요.,could,have to,should,should,3
"현재완료 시제 have를 활용해 경험에 대해 묻고 답할 수 있어요.
경험에 대해 질문하고 대답할 때 적절한 표현을 사용할 수 있어요.",A: Have you ever _______?,해외여행 가본 적 있어?,visited abroad,traveled abroad,lived abroad,traveled abroad,2,A: Have you _______?,해본 적 있어?,attempted,tested,tried,tried,3
