fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
The treasure ___ on the island.,보물은 섬에 [[위치]]해요.,lie,It means to be in a place.,어느 곳에 있는 것을 말해요.
The cat ___ on the sofa.,고양이가 소파에서 [[펼쳐져 있다]] 있답니다.,lie,It means to rest in a flat position.,평평한 자세로 눕는다는 뜻이에요.
We enjoy ___ on Earth.,우리는 지구에서 [[생명]]을 즐겨요.,life,It is the state of being alive.,살아 있음을 뜻하는 상태예요.
My ___ is full of joy.,내 [[생활]]은 기쁨으로 가득해요.,life,You experience it every day from morning to night.,아침부터 밤까지 경험하는 모든 것이에요.
Enjoy your ______ every day.,매일 [[삶]]을 즐기세요.,life,It is your time from birth until death.,태어나서 죽을 때까지의 시간이예요.
The flower looks ____. ,꽃이 [[활기 없는]] 보여요.,lifeless,It describes something with no energy.,에너지가 없고 생기 없는 것을 말해요.
I hope to live a ___.,나는 [[평생]] 살고 싶어요.,lifetime,It is all the years you live.,당신이 사는 모든 해를 말해요.
The butterfly's ____ is very short.,나비의 [[수명]]은 짧아요.,lifetime,It is the time span of a person's or thing's life.,사람이나 물건이 존재하는 시간을 말해요.
They ___ the room.,그들은 방을 [[비추]]어요.,light,It makes things bright.,사물을 밝게 만들어요.
Her room has a ___.,그녀의 방에는 [[빛]] 있어요.,light,It helps you see in the dark.,어두울 때 보이게 해줘요.
Turn on the ___.,방에 [[전등]] 있어요.,light,You use this device to see in the dark.,어두운 곳에서 볼 수 있게 해줘요.
What is your ___ on this topic?,이 주제에 대한 당신의 [[관점]]은 무엇인가요?,light,It means your view or opinion.,당신의 생각이나 의견을 의미해요.
I ___ the room with candles.,나는 촛불로 방을 [[불을 밝히다]]해요.,light up,You turn on a lamp to see.,램프를 켜서 보기 쉽게 해요.
The room will ___ when morning comes.,아침이 오면 방이 [[환해]]져요.,light up,It happens when something becomes bright.,무엇인가가 밝아지는 것을 말해요.
The boat saw a ___.,배가 [[등대]]를 봤어요.,lighthouse,It is a tall tower near the sea that guides ships.,"바다 옆에 있는 높은 탑으로, 배가 방향을 잡도록 도와줘요."
The storm showed ___ in the sky.,폭풍우가 하늘에 [[번개]] 보여줬어요.,lightning,It is a bright flash during a storm.,폭풍 중에 하늘에서 번쩍이는 빛이에요.
