textbook ID,학년,출판사(저자),교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_Kor,SUB_EXPRESSION,SUB_EXPRESSION_Kor
801,중2,능률(김),2015,1,Express Yourself,주어 역할을 하는 동명사,Dancing has become popular among my friends.,춤추는 것은 내 친구들 사이에서 인기가 높아졌습니다.,Singing relaxes me after a long day. Drawing inspires creativity in our class.,노래하는 것은 긴 하루 후에 나를 편안하게 만듭니다. 그림 그리기는 우리 반에 창의력을 불어넣습니다.
801,중2,능률(김),2015,2,"Eat Right, Be Happy",주격 관계대명사,What do families who value health cook for dinner?,건강을 중요하게 생각하는 가족들은 저녁으로 무엇을 요리하나요?,What do chefs who use fresh ingredients serve for dinner? What do athletes who follow a healthy diet drink after practice?,신선한 재료를 사용하는 요리사들은 저녁으로 무엇을 내놓나요? 건강한 식단을 따르는 운동선수들은 연습 후 무엇을 마시나요?
801,중2,능률(김),2015,3,Understand the World,현재완료,"For many years, scientists have studied natural wonders.","오랜 세월 동안, 과학자들이 자연의 경이로움을 연구해왔습니다.","For decades, explorers have mapped unknown territories. Over the past years, historians have uncovered ancient secrets.","수십 년 동안, 탐험가들이 미지의 영역을 지도화해왔습니다. 지난 몇 년 동안, 역사가들이 고대의 비밀을 밝혀왔습니다."
801,중2,능률(김),2015,4,Go Green Together,수동태,Plastic bottles are reused by caring communities.,플라스틱 병은 배려하는 지역사회에 의해 재사용됩니다.,Used coffee grounds are transformed into garden compost by neighbors. Discarded paper is turned into new books by innovative teams.,사용된 커피 찌꺼기는 이웃들에 의해 정원용 퇴비로 변신합니다. 버려진 종이는 혁신적인 팀에 의해 새로운 책으로 바뀝니다.
801,중2,능률(김),2015,5,Give a Helping Hand,목적격 관계대명사,The neighbor whom I assisted during the storm felt grateful.,폭풍우 중에 내가 도와준 이웃은 감사해했다.,The student whom I tutored solved the math problem swiftly. The volunteer whom we invited to the school event showed great care.,내가 가르친 학생은 수학 문제를 빠르게 풀었다. 우리가 학교 행사에 초대한 자원봉사자는 큰 관심을 보였다.
801,중2,능률(김),2015,6,The Best Trip of Your Life,가주어 it,It was nice to explore a new city and taste unique dishes.,새로운 도시를 탐험하며 독특한 요리를 맛보는 것은 즐거웠습니다.,It was refreshing to relax by the river and watch the sunset. It was interesting to ride a bike around the town and find hidden spots.,강가에서 쉬며 석양을 바라보는 것은 상쾌했습니다. 도시를 자전거로 돌아다니며 숨은 명소를 찾는 것은 재미있었습니다.
801,중2,능률(김),2015,7,On My Way to the Future,to부정사를 목적격 보어로 가지는 동사,Minji plans her project to win the competition.,민지는 대회를 이기기 위해 자신의 프로젝트를 계획합니다.,Alex encourages his teammates to practice every day. The principal expects students to embrace new challenges.,알렉스는 동료들에게 매일 연습할 것을 격려합니다. 교장은 학생들이 새로운 도전을 받아들이길 기대합니다.
802,중2,능률(양),2015,1,What Is Your Color?,which로 시작하는 의문문,Which movie do you like to watch?,어떤 영화를 보는 것을 좋아합니까?,Which subject do you find interesting? Which game do you often play?,어떤 과목이 흥미롭다고 생각합니까? 어떤 게임을 자주 합니까?
802,중2,능률(양),2015,2,"Old Things, New Art",수동태,It was restored by art experts.,예술 전문가들에 의해 복원되었습니다.,The sculpture was liked by visitors. The poster was made by a student artist.,조각상은 방문객들에게 인기가 있었습니다. 포스터는 학생 예술가에 의해 만들어졌습니다.
802,중2,능률(양),2015,3,"Go, Team!",형식 주어 It It’s important to play for the team.,It is necessary to encourage each other.,서로를 격려하는 것이 필요합니다.,It is vital to work together. It is helpful to communicate during the game.,함께 협력하는 것이 필수적입니다. 경기 중에 소통하는 것이 도움이 됩니다.
