example_english,example_korean
I have a big ball.,나는 큰 공 하나를 가지고 있어요.
I want a bit of milk in my tea.,차에 약간의 우유를 넣고 싶어요.
I have a couple of pencils.,저는 몇 개의 연필이 있어요.
I have a couple of toys.,저는 두 개의 장난감이 있어요.
I found a couple of apples in the basket.,바구니에서 두어 개의 사과를 찾았어요.
I have a few toys.,나는 몇 개의 장난감이 있어요.
An orange is a kind of fruit.,오렌지는 과일과 같은 종류에요.
Bananas are a kind of fruit.,바나나는 일종의 과일이에요.
I need a little milk.,저는 우유가 조금 필요해요.
I have a lot of toys.	,나는 장난감을 많이 가지고 있어요.	
There are a lot of stars in the sky.	,하늘에 별들이 많아요~요
He shared a piece of chocolate with his friend.,그는 친구와 초콜릿 한 조각을 나눴어요.
I watched a series of fun cartoons.,나는 재미있는 만화들을 연속으로 봤어요.
I see a variety of bikes in our park.,우리 공원에서 다양한 자전거들을 봐요.
I wake up at 7 a.m.,저는 오전 7시에 일어나요.
I use my ability to help my friends.,나는 내 능력으로 친구를 도와요.
The children went aboard the bus.	The kids are happy.,아이들이 버스에 탑승하였어요.	아이들이 행복해요.
I have about ten crayons in my box.,제 상자에 대략 열 개의 크레용이 있어요.
We talk about animals.,우리는 동물에 대하여 이야기해요.
A kite is flying above the park.,연이 공원 위에서 날고 있어요.
My friend lives abroad.,내 친구가 외국에서 살고 있어요.
Tom is absent from class today.,톰이 오늘 수업에 결석했어요.
Tom looks absent during story time.,Tom이 이야기 시간에 멍해 보여요.
I absolutely want to play with my friends.,나는 당연히 친구들과 놀고 싶어요.
I absolutely love summer ice cream.,나는 여름 아이스크림을 완전히 좋아해요.
I absolutely love my new toy.,저는 새 장난감을 전적으로 좋아해요.
I absolutely do not like spiders.,저는 거미를 전혀 좋아하지 않아요.
The library is accessible to all kids.,도서관은 모든 아이들이 쉽게 접근할 수 있어요.
The park is accessible for all children.,공원은 모든 아이들이 이용할 수 있어요.
I made an accidental mark on my paper while drawing.,그림을 그리다가 종이에 부수적인 자국이 생겼어요.
I made an accidental drawing mistake.,내가 우연한 그림 실수를 했어요.
I accidentally dropped my pencil.,나는 우연히 연필을 떨어뜨렸어요.
"According to our plan,	we play outside.",계획에 따라	우리는 밖에서 놀고 있어요.
The park is across the street.,공원이 길 맞은편에 있어요.
The park is across from my school.,공원이 내 학교의 맞은편에 있어요.
The child will act on stage.,아이가 무대에서 연기해요.
I can act like a funny clown.,나는 웃긴 광대인 체할 거예요.
The judge acts after hearing all the facts.,판사는 모든 사실을 듣고 결정해요.
The town passed a new act.,마을에서 새로운 법령을 통과했어요.
We watch an act in our school play.,우리 반은 학교 연극의 막을 보고 있어요.
