fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
"In pronunciation, the ______ on syllables is important for clarity.",발음에서 음절에 대한 [[강세]]는 명확성을 위해 중요해요.,accent,Rearrange these letters!: C T A N C E,다음 글자들을 재배열 해보세요!: C T A N C E
She practiced her ___ to perfect her pronunciation for the play.,그녀는 연극을 위해 발음을 완벽하게 하려고 [[억양]]을 연습했어요.,accent,Rearrange these letters!: C A N T C E,다음 글자들을 재배열 해보세요!: C A N T C E
The company plans to ______ its new product on national television.,회사는 새 제품을 [[광고하다]]고 계획해요.,advertise,It starts with 'a'!,a로 시작하는 단어예요!
The new startup plans to ___ its services online to attract more customers.,새로운 스타트업은 고객을 유치하기 위해 서비스를 온라인에서 [[광고]]할 계획이에요.,advertize,Rearrange these letters!: T A Z D I E V R E,다음 글자들을 재배열 해보세요!: T A Z D I E V R E
The ___ has expanded its network of flights to include many international destinations.,그 ___는 국제선 비행 경로를 확장했어요.,airline,Rearrange these letters!: I L A N E I R,다음 글자들을 재배열 해보세요!: I L A N E I R
The loud ___ alerted everyone of the danger.,큰 [[경보]]가 모두에게 위험을 알렸어요.,alarm,It starts with 'a'!,a로 시작하는 단어예요!
I set my ___ before going to bed.,나는 잠자리에 들기 전에 내 [[알람]]을 설정했어요.,alarm,Rearrange these letters!: R A M A L,다음 글자들을 재배열 해보세요!: R A M A L
Doctors warn that excessive ___ can lead to severe liver damage.,의사들은 과도한 [[알코올]] 섭취가 심각한 간 손상을 초래할 수 있다고 경고해요.,alcohol,Rearrange these letters!: L O C A H O L,다음 글자들을 재배열 해보세요!: L O C A H O L
"During the performance, she recited the poem ___ for all to hear.","공연 중, 그녀는 모두가 들을 수 있도록 [[소리 내어]] 시를 낭독했어요.",aloud,Rearrange these letters!: L O D U A,다음 글자들을 재배열 해보세요!: L O D U A
The magician's performance always managed to _____ the audience.,마술사의 공연은 항상 관객들을 [[놀라게 하다]].,amaze,Rearrange these letters!: Z E A M A,다음 글자들을 재배열 해보세요!: Z E A M A
