id,WordText,WordMeaning,PoSText
11500,turn,"방향을 바꾸다,돌리다",동사
11501,twelve,"12,열둘",명사
11502,twenty,"20,스물",명사
11503,twice,두 번,부사
11504,two,"2,둘",명사
11505,type,유형,명사
11506,type,"타자 치다,입력하다",동사
11507,type,활자,명사
11508,ugly,못생긴,형용사
11509,ugly,"불쾌한,볼품없는",형용사
11510,umbrella,우산,명사
11511,uncle,"삼촌,이모부",명사
11512,under,아래에,전치사
11513,under,~중인,전치사
11514,understand,이해하다,동사
11515,up,위로,전치사
11516,use,"용도,쓰임새",명사
11517,usual,평소의,형용사
11518,vegetable,"채소,야채",명사
11519,very,매우,부사
11520,very,바로 그,부사
11521,video,비디오,명사
11522,video,영상,명사
11523,violin,바이올린,명사
11524,visit,방문하다,동사
11525,voice,목소리,명사
11526,voice,의견을 표현하다,동사
11527,wait,기다리다,동사
11528,wake,(잠에서) 깨다,동사
11529,walk,"걷다,산책시키다",동사
11530,walk,산책로,명사
11531,walk,산책시키다,동사
11532,walk,바래다주다,동사
11533,wall,벽,명사
11534,want,원하다,동사
11535,war,전쟁,명사
11536,warm,따뜻한,형용사
11537,wash,씻다,동사
11538,wash,물살 가르는 소리,명사
11539,wash,빨다,동사
11540,wash,"세척제,화장수",명사
11541,watch,손목시계,명사
11542,watch,시계,명사
11543,watch,보다,동사
11544,watch,보다,동사
11545,watch,"주의하다,조심하다",동사
11546,water,물,명사
11547,water,물을 주다,동사
11548,water,군침이 돌다,동사
11549,water,물속의,형용사
11550,watermelon,수박,명사
11551,way,"길,방법",명사
11552,way,(특정한) 방향,명사
11553,way,방법,명사
11554,we,우리는,대명사
11555,wear,입고 있다,동사
11556,wear,닳다,동사
11557,wear,"입다,착용하다,쓰다",동사
11558,weather,날씨,명사
11559,weather,(역경 등을) 견디다,동사
11560,weather,풍화시키다,동사
11561,website,웹사이트,명사
11562,wedding,결혼식,명사
11563,week,주,명사
11564,weekend,주말,명사
11565,weight,"무게,중량",명사
11566,weight,역기,명사
11567,welcome,환영하다,동사
11568,well,잘,부사
11569,well,우물,명사
11570,well,"좋은,건강한",형용사
11571,west,서쪽,명사
11572,wet,젖은,형용사
11573,wet,적시다,동사
11574,what,무엇,대명사
11575,when,언제,부사
11576,when,~할 때,접속사
11577,where,어디에,부사
11578,who,누구,대명사
11579,why,왜,부사
11580,why,"이유,원인",명사
11581,wife,아내,명사
11582,will,~할 것이다,동사
11583,will,의지,명사
11584,will,유언,명사
11585,win,이기다,동사
11586,win,상을 타다,동사
11587,win,"쟁취하다,획득하다",동사
11588,wind,바람,명사
11589,wind,구불구불하다,동사
11590,wind,감다,동사
11591,window,창문,명사
11592,wine,포도주,명사
11593,winter,겨울,명사
11594,wish,소원,명사
11595,with,~와 함께,전치사
11596,with,~으로,전치사
11597,woman,여자,명사
11598,wood,나무,명사
11599,word,낱말,명사
11600,word,"말,소식,정보",명사
11601,work,효과가 있다,동사
11602,work,"작동하다,일하다",동사
11603,work,"작품,일",명사
11604,work,노력,명사
11605,work,"일,직장,직업",명사
11606,work,"(약 등이) 작용하다,듣다",동사
11607,work,작업,명사
11608,world,세계,명사
11609,write,쓰다,동사
11610,wrong,"틀린,잘못된",형용사
11611,yeah,그래,숙어/관용어
11612,year,"년,해",명사
11613,yellow,겁 많은,형용사
11614,yes,예,숙어/관용어
11615,yesterday,어제,명사
11616,you,너는,대명사
11617,young,젊은,형용사
11618,young,어린,형용사
11619,young,(동물의) 새끼,명사
11620,zoo,동물원,명사
11621,across,건너서,부사
11622,across,가로질러,전치사
11623,act,"행동, 연기",명사
11624,act,행동하다,동사
11625,alone,홀로,형용사
11626,alone,홀로,부사
11627,black,검은색,명사
11628,black,검은색의,형용사
11629,blue,파란색,명사
11630,blue,파란색의,형용사
11631,brush,솔질하다,동사
11632,brush,"빗겨 주다, 빗질하다",동사
11633,brush,"붓, 솔",명사
11634,brush,솔,명사
11635,burn,화상을 입다,동사
11636,burn,화상,명사
11637,call,전화,명사
11638,call,요청,명사
11639,call,전화하다,동사
11640,call,요청하다,동사
11641,camp,캠프,명사
11642,camp,야영하다,동사
11643,care,관리,명사
11644,care,관리하다,동사
11645,change,바꾸다,동사
11646,change,"변화, 기분 전환",명사
11647,clean,"청소하다, 닦다",동사
11648,clean,깨끗한,형용사
11649,close,"친한, 가까운",형용사
11650,close,닫다,동사
11651,company,동석,명사
11652,company,동석하다,동사
11653,cost,비용이 들다,동사
11654,cost,가격,명사
11655,dark,어둠,명사
11656,dark,어두운,형용사
11657,date,날짜,명사
11658,date,날짜를 적다,동사
11659,design,디자인,명사
11660,design,설계하다,동사
11661,dream,꿈,명사
11662,dream,꿈꾸다,동사
11663,drive,단체 운동,명사
11664,drive,단체 운동하다,동사
11665,end,끝,명사
11666,end,끝내다,동사
11667,exercise,운동,명사
11668,exercise,연습,명사
11669,exercise,운동하다,동사
11670,exercise,연습하다,동사
11671,face,(상황에) 직면하다,동사
11672,face,얼굴,명사
11673,fall,하락,명사
11674,fall,하락하다,동사
11675,fat,살찐,형용사
11676,fat,지방,명사
11677,favorite,특히 좋아하는,형용사
11678,favorite,특히 좋아하는 것,명사
11679,fight,싸움,명사
11680,fight,싸우다,동사
11681,fish,낚시하다,동사
11682,fish,"물고기, 생선",명사
11683,focus,초점,명사
11684,focus,초점을 맞추다,동사
11685,free,무료의,형용사
11686,free,무료로,부사
11687,fun,재미,명사
11688,fun,재미있는,형용사
11689,green,녹색,명사
11690,green,녹색의,형용사
11691,help,돕다,동사
11692,help,"도움, 구조",명사
11693,hike,인상,명사
11694,hike,인상하다,동사
11695,home,집,명사
11696,home,집으로,부사
11697,kind,"종류, 유형",명사
11698,kind,친절한,형용사
11699,lie,거짓말,명사
11700,lie,거짓말하다,동사
11701,light,가벼운,형용사
11702,light,불,명사
11703,light,빛,명사
11704,light,불 붙이다,동사
11705,mind,꺼려하다,동사
11706,mind,"마음, 생각",명사
11707,need,필요,명사
11708,need,필요로 하다,동사
11709,north,"북쪽의, 북쪽에 있는",형용사
11710,north,북쪽,명사
11711,note,유의,명사
11712,note,유의하다,동사
11713,out,밖에,부사
11714,out,밖으로,전치사
11715,phone,전화,명사
11716,phone,전화하다,동사
11717,pink,분홍색,명사
11718,pink,분홍색의,형용사
11719,place,놓다,동사
11720,place,장소,명사
11721,plan,계획,명사
11722,plan,계획하다,동사
11723,present,현재의,형용사
11724,present,"발표하다, 제출하다",동사
11725,present,선물,명사
11726,present,선물,명사
11727,question,심문하다,동사
11728,question,질문,명사
11729,race,경주,명사
11730,race,경주하다,동사
11731,rain,비,명사
11732,rain,비가 오다,동사
11733,red,빨강,명사
11734,red,빨강의,형용사
11735,score,"득점, 점수",명사
11736,score,득점하다,동사
11737,second,제2,명사
11738,second,제2의,형용사
11739,ski,스키,명사
11740,ski,스키를 타다,동사
11741,smile,미소,명사
11742,smile,미소를 짓다,동사
11743,south,"남쪽의, 남쪽에 있는",형용사
11744,south,남쪽,명사
11745,study,"연구, 공부",명사
11746,study,"연구하다, 공부하다",동사
11747,taste,"맛, 취향",명사
11748,taste,"맛보다, ~의 맛이 나다",동사
11749,third,제3,명사
11750,third,제3의,형용사
11751,travel,여행,명사
11752,travel,여행하다,동사
11753,turn,"돌다, 돌리다",동사
11754,turn,차례,명사
11755,use,"사용, 사용량",명사
11756,use,사용하다,동사
11757,white,흰색,명사
11758,white,흰색의,형용사
11759,wish,바라다,동사
11760,wish,소원,명사
11761,work,일하다,동사
11762,work,"일, 직장",명사
11763,worry,걱정하다,동사
11764,worry,걱정하다,동사
11765,worry,"걱정, 걱정거리",명사
11766,worry,"걱정, 고민",명사
11767,yellow,노란색,명사
11768,yellow,노란색의,형용사
11769,true,진실한,형용사
11770,a lot of,많은,숙어/관용어
11771,activity,활동,명사
11772,actor,배우,명사
11773,Africa,아프리카,명사
11774,airport,공항,명사
11775,alphabet,알파벳,명사
11776,am,이다,동사
11777,an,하나의,관사
11778,angry,화난,형용사
11779,announcer,아나운서,명사
11780,ant,개미,명사
11781,anteater,개미핥기,명사
11782,April,4월,명사
11783,are,이다,동사
11784,artist,"예술가,화가",명사
11785,artist,"예술가,화가",명사
11786,astronaut,우주비행사,명사
11787,August,8월,명사
11788,Australia,호주,명사
11789,backpack,배낭,명사
11790,backpack,배낭여행을 하다,동사
11791,bakery,제과점,명사
11792,balloon,풍선,명사
11793,band,띠,명사
11794,band,밴드,명사
11795,band,무리,명사
11796,band,팔찌,명사
11797,band,"떼,집단",명사
11798,bathroom,욕실,명사
11799,bean,콩,명사
11800,beautiful,아름다운,형용사
11801,beaver,근면한 사람,명사
11802,beaver,비버,명사
11803,bedroom,침실,명사
11804,between A and B,A와 B 사이에,숙어/관용어
11805,bicycle,자전거,명사
11806,birthday,생일,명사
11807,block,"막다,차단하다",동사
11808,block,"(도로의) 구역,(장난감) 블록",명사
11809,block,(장난감) 블록,명사
11810,block,"단위,덩어리",명사
11811,board game,보드게임,명사
11812,bookstore,서점,명사
11813,boomerang,부메랑,명사
11814,boots,장화,명사
11815,boring,지루한,형용사
11816,bowl,사발,명사
11817,bowl,"(우묵한) 그릇,통",명사
11818,brain,"뇌,의식",명사
11819,break into,~에 침입하다,숙어/관용어
11820,break into,진출하다,숙어/관용어
11821,bug,"벌레,곤충",명사
11822,bug,컴퓨터상의 오류,명사
11823,bug,괴롭히다,동사
11824,building,건물,명사
11825,bus stop,버스 정류장,명사
11826,butterfly,나비,명사
11827,cabinet,(정부의) 내각,명사
11828,cabinet,캐비닛,명사
11829,camping,야영,명사
11830,Canada,캐나다,명사
11831,captain,"선장,우두머리",명사
11832,captain,"대위,대령",명사
11833,careful,주의 깊은,형용사
11834,carpet,카펫,명사
11835,cart,수레,명사
11836,cave,동굴,명사
11837,cell phone,휴대전화,명사
11838,chant,"성가,찬송가",명사
11839,cheesecake,치즈케이크,명사
11840,children,아이들,명사
11841,chimpanzee,침팬지,명사
11842,China,중국,명사
11843,Chinese,중국어,명사
11844,chip,"조각,(컴퓨터)칩",명사
11845,chip,얇게 썬 과자,명사
11846,Christmas,크리스마스,명사
11847,classroom,교실,명사
11848,cloudy,흐린,형용사
11849,comedian,코미디언,명사
11850,comic book,만화책,명사
11851,community,공동체,명사
11852,community,지역 사회,명사
11853,community center,지역 주민 회관,명사
11854,concert,콘서트,명사
11855,concert,연주회,명사
11856,concert,"협력,협조",명사
11857,congratulation,축하,명사
11858,contest,"경쟁,경연대회,시합",명사
11859,contest,"경연대회,시합",명사
11860,cookie,쿠키,명사
11861,cooking,요리,명사
11862,cooking,요리를 하는,형용사
11863,corn,곡물,명사
11864,corn,옥수수,명사
11865,creative,창조적인,형용사
11866,crown,왕관,명사
11867,curly,곱슬곱슬한,형용사
11868,curry,카레,명사
11869,curry,(말 따위를) 빗질하다,동사
11870,cute,귀여운,형용사
11871,dear,친애하는,형용사
11872,dear,(편지) ~에게,형용사
11873,dear,이런(놀람/충격/걱정 등을 나타냄),감탄사
11874,December,12월,명사
11875,deer,사슴,명사
11876,dentist,치과의사,명사
11877,desert,사막,명사
11878,desert,버리다,동사
11879,desert,한산하다,동사
